CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
00005,Ordinary shares,HK Main,0005,,,,
00005,"Ordinary, GBP",HK Main,0150,,1999-07-02,1999-07-05,Converted to ord
00005,Nil-paid rights 2009-04-0,HK Main,2997,2009-03-23,2009-03-31,2009-04-01,Expired
00011,Ordinary shares,HK Main,0011,1972-06-20,,,
00011,Note/bond 2017-0,HK Main,1602,2007-07-06,2012-07-17,2012-07-23,Redeemed
00023,Ordinary shares,HK Main,0023,1939-01-01,,,
00023,Note/bond,HK Main,5583,2015-12-03,,,
00023,Note/bond,HK Main,5204,2017-05-19,,,
00023,Note/bond,HK Main,6020,2019-09-20,,,
00023,Note/bond 2024-11-2,HK Main,5833,2014-11-21,2019-11-25,2019-11-29,Redeemed
00023,Note/bond 2026-11-0,HK Main,5902,2016-11-04,,,
00416,PRC ordinary shares listed in HK,HK Main,0416,2015-12-07,,,
00416,Preference,HK Main,4615,2017-10-30,,,
00440,Ordinary shares,HK Main,0440,1987-11-05,,,
00440,Nil-paid rights 2010-12-1,HK Main,2954,2010-11-30,2010-12-07,2010-12-08,Expired
00440,Nil-paid rights 2014-04-2,HK Main,2991,2014-04-09,2014-04-16,2014-04-17,Expired
00626,Ordinary shares,HK Main,0626,1991-10-03,,,
00626,Warrant 1994-12-3,HK Main,0627,1991-10-03,1994-12-23,1995-01-03,Expired
00626,Nil-paid rights 2006-04-0,HK Main,2942,2006-03-21,2006-03-29,2006-03-30,Expired
00939,PRC ordinary shares listed in HK,HK Main,0939,2005-10-27,,,
00939,A-share,Shang,601939,2007-09-25,,,
00939,Preference,HK Main,4606,2015-12-17,,,
00939,Nil-paid rights 2010-12-0,HK Main,2948,2010-11-23,2010-12-03,2010-12-06,Expired
00939,Note/bond 2019-09-3,HK Main,4564,2016-10-03,2019-09-25,2019-10-02,Expired
00939,Note/bond 2020-01-2,HK Main,5860,2015-01-21,2020-01-15,2020-01-21,Expired
00939,Note/bond 2020-05-3,HK Main,5212,2017-06-01,,,
00939,Note/bond 2020-12-0,HK Main,5049,2017-12-05,,,
00939,Note/bond 2020-12-0,HK Main,5051,2017-12-05,,,
00939,Note/bond 2021-06-0,HK Main,5111,2018-06-11,,,
00939,Note/bond 2021-09-2,HK Main,5173,2018-09-26,,,
00939,Note/bond 2021-10-2,HK Main,5711,2016-10-24,,,
00939,Note/bond 2022-06-1,HK Main,5217,2017-06-14,,,
00939,Note/bond 2022-10-2,HK Main,40027,2019-10-23,,,
00939,Note/bond 2022-12-0,HK Main,5050,2017-12-05,,,
00939,Note/bond 2023-06-0,HK Main,5112,2018-06-11,,,
00939,Note/bond 2024-10-2,HK Main,40035,2019-10-25,,,
00939,Note/bond 2024-11-1,HK Main,85998,2014-11-13,2019-11-15,2019-11-21,Redeemed
00939,Note/bond 2025-05-1,HK Main,5514,2015-05-14,,,
00939,Note/bond 2029-02-2,HK Main,5802,2019-02-28,,,
00998,PRC ordinary shares listed in HK,HK Main,0998,2007-04-27,,,
00998,A-share,Shang,601998,2007-04-27,,,
00998,Nil-paid rights 2011-07-2,HK Main,2940,2011-07-13,2011-07-20,2011-07-21,Expired
00998,Note/bond 2017-02-2,HK Main,85949,2014-02-28,2017-02-22,2017-02-28,Expired
00998,Note/bond 2020-12-1,HK Main,5066,2017-12-15,,,
00998,Note/bond 2020-12-1,HK Main,5068,2017-12-15,,,
00998,Note/bond 2022-12-1,HK Main,5067,2017-12-15,,,
00998,Note/bond 2022-12-1,HK Main,5069,2017-12-15,,,
01111,Ordinary shares,HK Main,1111,1994-07-11,,,
01111,Nil-paid rights 2015-09-1,HK Main,2982,2015-09-04,2015-09-11,2015-09-14,Expired
01111,Nil-paid rights 2018-09-1,HK Main,2975,2018-09-04,2018-09-11,2018-09-12,Expired
01111,Note/bond,HK Main,5804,2014-09-26,2019-09-30,2019-10-08,Redeemed
01111,Note/bond,HK Main,4419,2019-07-16,,,
01111,Note/bond 2016-12-1,HK Main,1510,2006-12-18,2012-01-04,2012-01-10,Redeemed
01111,Note/bond 2020-11-0,HK Main,4327,2010-11-05,,,
01111,Note/bond 2027-07-2,HK Main,5249,2017-07-27,,,
01216,PRC ordinary shares listed in HK,HK Main,1216,2017-07-19,,,
01216,Preference,HK Main,4617,2018-11-22,,,
01288,PRC ordinary shares listed in HK,HK Main,1288,2010-07-16,,,
01288,A-share,Shang,601288,2010-07-15,,,
01288,Note/bond 2017-10-1,HK Main,5813,2014-10-17,2017-10-11,2017-10-17,Expired
01288,Note/bond 2017-12-0,HK Main,5852,2014-12-10,2017-12-06,2017-12-12,Expired
01288,Note/bond 2018-12-1,HK Main,6001,2013-12-11,2018-12-05,2018-12-11,Expired
01288,Note/bond 2019-05-1,HK Main,5657,2016-06-03,2019-05-10,2019-05-17,Expired
01288,Note/bond 2019-05-1,HK Main,5658,2016-06-03,2019-05-10,2019-05-17,Expired
01288,Note/bond 2019-12-0,HK Main,5322,2016-12-08,2019-12-04,2019-12-10,Expired
01288,Note/bond 2020-09-1,HK Main,5277,2017-09-20,,,
01288,Note/bond 2021-06-2,HK Main,5677,2016-06-22,,,
01288,Note/bond 2021-09-1,HK Main,5168,2018-09-20,,,
01288,Note/bond 2021-09-1,HK Main,5169,2018-09-20,,,
01288,Note/bond 2021-11-0,HK Main,5025,2018-11-08,,,
01288,Note/bond 2022-07-3,HK Main,5609,2019-07-31,,,
01288,Note/bond 2023-11-0,HK Main,5028,2018-11-08,,,
01398,PRC ordinary shares listed in HK,HK Main,1398,2006-10-27,,,
01398,A-share,Shang,601398,2006-10-27,,,
01398,Preference,HK Main,4603,2014-12-11,2019-12-10,2019-12-12,Redeemed
01398,Preference,HK Main,4604,2014-12-11,,,
01398,Preference,HK Main,84602,2014-12-11,2019-12-10,2019-12-12,Redeemed
01398,Nil-paid rights 2010-12-1,HK Main,2951,2010-12-01,2010-12-13,2010-12-14,Expired
01398,Note/bond 2017-03-0,HK Main,5706,2014-03-04,2017-02-28,2017-03-06,Expired
01398,Note/bond 2019-05-2,HK Main,5653,2016-05-24,2019-05-20,2019-05-24,Expired
01398,Note/bond 2019-12-0,HK Main,5318,2016-12-05,2019-11-27,2019-12-03,Expired
01398,Note/bond 2020-02-2,HK Main,5373,2017-02-22,,,
01398,Note/bond 2020-03-1,HK Main,5401,2017-03-14,,,
01398,Note/bond 2020-06-2,HK Main,5225,2017-06-28,,,
01398,Note/bond 2020-09-1,HK Main,85906,2019-09-17,,,
01398,Note/bond 2021-09-1,HK Main,6012,2019-09-17,,,
01398,Note/bond 2021-12-0,HK Main,4529,2011-12-08,,,
01398,Note/bond 2022-02-2,HK Main,5374,2017-02-22,,,
01398,Note/bond 2022-02-2,HK Main,5375,2017-02-22,,,
01398,Note/bond 2022-06-2,HK Main,5226,2017-06-28,,,
01398,Note/bond 2022-09-1,HK Main,6010,2019-09-17,,,
01398,Note/bond 2022-09-1,HK Main,6013,2019-09-17,,,
01398,Note/bond 2024-02-2,HK Main,85955,2014-03-20,,,
01398,Note/bond 2024-09-1,HK Main,6008,2019-09-17,,,
01398,Note/bond 2025-09-2,HK Main,5566,2015-09-22,,,
01551,PRC ordinary shares listed in HK,HK Main,1551,2017-06-20,,,
01551,Preference,HK Main,4618,2019-06-21,,,
01578,PRC ordinary shares listed in HK,HK Main,1578,2016-03-30,,,
01658,PRC ordinary shares listed in HK,HK Main,1658,2016-09-28,,,
01658,A-share,Shang,601658,2019-12-10,,,
01658,Preference,HK Main,4612,2017-09-28,,,
01916,PRC ordinary shares listed in HK,HK Main,1916,2018-06-26,,,
01963,PRC ordinary shares listed in HK,HK Main,1963,2013-11-06,,,
01963,Preference,HK Main,4616,2017-12-21,,,
01983,PRC ordinary shares listed in HK,HK Main,1983,2018-12-17,,,
01988,PRC ordinary shares listed in HK,HK Main,1988,2009-11-26,,,
01988,A-share,Shang,600016,2000-12-19,,,
01988,Preference,HK Main,4609,2016-12-15,,,
01988,Note/bond 2018-05-2,HK Main,5518,2015-05-22,2018-05-16,2018-05-23,Expired
01988,Note/bond 2020-05-0,HK Main,4581,2017-05-08,,,
01988,Note/bond 2020-09-1,HK Main,5268,2017-09-12,,,
01988,Note/bond 2020-11-1,HK Main,5018,2017-11-16,,,
01988,Note/bond 2020-11-1,HK Main,5017,2017-11-16,,,
01988,Note/bond 2021-03-0,HK Main,4444,2018-03-12,,,
01988,Note/bond 2022-09-1,HK Main,5269,2017-09-12,,,
01988,Note/bond 2023-03-0,HK Main,4445,2018-03-12,,,
02016,PRC ordinary shares listed in HK,HK Main,2016,2016-03-30,,,
02016,A-share,Shang,601916,2019-11-26,,,
02016,Preference,HK Main,4610,2017-03-30,,,
02066,PRC ordinary shares listed in HK,HK Main,2066,2014-12-29,,,
02139,PRC ordinary shares listed in HK,HK Main,2139,2018-01-18,,,
02356,Ordinary shares,HK Main,2356,2004-06-30,,,
02356,Nil-paid rights 2010-12-1,HK Main,2955,2010-11-30,2010-12-14,2010-12-15,Expired
02356,Nil-paid rights 2014-04-3,HK Main,2993,2014-04-09,2014-04-25,2014-04-28,Expired
02388,Ordinary shares,HK Main,2388,2002-07-25,,,
02558,PRC ordinary shares listed in HK,HK Main,2558,2019-07-18,,,
02888,Ordinary shares,HK Main,2888,2002-10-31,,,
02888,Nil-paid rights,HK Main,2921,2015-11-25,2015-12-07,2015-12-08,Expired
02888,Nil-paid rights 2008-12-1,HK Main,2976,2008-12-02,2008-12-12,2008-12-15,Expired
02888,Nil-paid rights 2010-11-0,HK Main,2942,2010-10-25,2010-11-02,2010-11-03,Expired
02888,Note/bond,HK Main,5890,2015-04-08,,,
02888,Note/bond,HK Main,4305,2016-08-19,,,
02888,Note/bond,HK Main,5348,2017-01-19,,,
02888,Note/bond,HK Main,5986,2019-07-04,,,
02888,Note/bond 2018-06-0,HK Main,5526,2015-06-08,2018-05-31,2018-06-06,Expired
02888,Note/bond 2020-06-0,HK Main,5527,2015-06-08,,,
02888,Note/bond 2021-09-1,HK Main,4324,2016-09-19,,,
02888,Note/bond 2024-11-2,HK Main,5475,2018-12-07,,,
02888,Note/bond 2025-06-0,HK Main,5528,2015-06-08,,,
03328,PRC ordinary shares listed in HK,HK Main,3328,2005-06-23,,,
03328,A-share,Shang,601328,2007-05-15,,,
03328,Preference,HK Main,4605,2015-07-30,,,
03328,Nil-paid rights 2010-07-0,HK Main,2918,2010-06-28,2010-07-06,2010-07-07,Expired
03328,Note/bond 2016-0,HK Main,85954,2014-03-21,2016-03-16,2016-03-22,Expired
03328,Note/bond 2017-01-1,HK Main,6007,2014-01-16,2017-01-11,2017-01-17,Expired
03328,Note/bond 2018-01-1,HK Main,5856,2015-01-19,2018-01-11,2018-01-17,Expired
03328,Note/bond 2018-08-2,HK Main,5561,2015-08-24,2018-08-16,2018-08-22,Expired
03328,Note/bond 2019-01-2,HK Main,5609,2016-01-26,2019-01-22,2019-01-28,Expired
03328,Note/bond 2019-03-2,HK Main,5620,2016-03-22,2019-03-18,2019-03-22,Expired
03328,Note/bond 2019-04-2,HK Main,5729,2014-04-28,2019-04-18,2019-04-26,Expired
03328,Note/bond 2019-08-1,HK Main,5698,2016-08-17,2019-08-13,2019-08-19,Expired
03328,Note/bond 2020-02-2,HK Main,5376,2017-02-22,,,
03328,Note/bond 2020-05-1,HK Main,5202,2017-05-16,,,
03328,Note/bond 2020-05-1,HK Main,4495,2018-05-21,,,
03328,Note/bond 2020-08-2,HK Main,5560,2015-08-24,,,
03328,Note/bond 2020-12-0,HK Main,5046,2017-12-05,,,
03328,Note/bond 2021-03-2,HK Main,5621,2016-03-22,,,
03328,Note/bond 2021-03-2,HK Main,85741,2019-03-22,,,
03328,Note/bond 2021-05-1,HK Main,4493,2018-05-18,,,
03328,Note/bond 2022-03-2,HK Main,5912,2019-03-22,,,
03328,Note/bond 2022-05-1,HK Main,5203,2017-05-16,,,
03328,Note/bond 2022-12-0,HK Main,5047,2017-12-05,,,
03328,Note/bond 2023-03-0,HK Main,5909,2013-03-07,,,
03328,Note/bond 2023-05-1,HK Main,4494,2018-05-18,,,
03328,Note/bond 2024-03-2,HK Main,5914,2019-03-22,,,
03328,Note/bond 2024-10-0,HK Main,5808,2014-10-06,2019-10-08,2019-10-14,Redeemed
03328,Note/bond 2026-10-0,HK Main,5809,2014-10-06,,,
03618,PRC ordinary shares listed in HK,HK Main,3618,2010-12-16,,,
03618,A-share,Shang,601077,2019-10-29,,,
03698,PRC ordinary shares listed in HK,HK Main,3698,2013-11-12,,,
