,CompanyCode,Current English name,Chinese name,Effective
0,5,HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED (THE),,1991-04-02
1,662,PUBLIC BANK (HONG KONG) LIMITED,å¤§ç\x9c¾é\x8a\x80è¡\x8c(é¦\x99æ¸¯)æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1990-12-11
2,662,"ASIA INSURANCE COMPANY, LIMITED",äº\x9eæ´²ä¿\x9dé\x9aªæ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1990-12-11
3,53,DAO HENG HOLDINGS LIMITED,é\x81\x93äº¨é\x9b\x86å\x9c\x98æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1991-01-22
4,310,GR INVESTMENT HOLDINGS LIMITED,é\x87\x91æº\x90å\x89µå±\x95æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,2001-12-12
5,378,CHINA INTERNATIONAL FOREST RESOURCES LIMITED,ä¸\xadå\x9c\x8bå\x9c\x8bé\x9a\x9bæ£®æ\x9e\x97è³\x87æº\x90æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1992-12-15
6,1062,ING BEIJING INVESTMENT COMPANY LIMITED,INGå\x8c\x97äº¬æ\x8a\x95è³\x87æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,2005-04-13
7,231,RICHFIELD INTERNATIONAL INVESTMENTS LIMITED,å¯\x8cå\x88©å\x9c\x8bé\x9a\x9bæ\x8a\x95è³\x87æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1989-09-13
8,279,"TUNG FONG HUNG MEDICINE COMPANY, LIMITED",æ\x9d±æ\x96¹ç´\x85è\x97¥æ¥\xadæ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1992-10-21
9,6806,"Hong Yuan Securities Co., Ltd.",å®\x8fæº\x90è\xad\x89å\x88¸è\x82¡ä»½æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,2015-01-26
10,6806,"Shanghai Shenyin Securities Co., Ltd.",ä¸\x8aæµ·ç\x94³é\x8a\x80è\xad\x89å\x88¸æ\x9c\x89é\x99\x90å\x85¬å\x8f¸,1996-09-16
11,6806,"Shanghai Wanguo Securities Co., Ltd.",ä¸\x8aæµ·è\x90¬å\x9c\x8bè\xad\x89å\x88¸å\x85¬å\x8f¸,1996-09-16
